session_id,condition_id,participant_id,seq,t_frame_ns,t_q_recv_local_ns,t_q_recv_ref_ns,t_q_display_local_ns,t_q_display_ref_ns,size_bytes
S00,C0,P00,119,770006885002291,770006902844289,770006902911992,770006904234411,770006904276240,467
S00,C0,P00,120,770006935688954,770006954975489,770006954968005,770006957197143,770006957162547,448
S00,C0,P00,121,770007047591434,770007067501383,770007067662560,770007069119213,770007069303584,353
S00,C0,P00,122,770007112216191,770007133082362,770007133109455,770007134798053,770007134841978,451
S00,C0,P00,123,770007172655095,770007190497093,770007190713671,770007191069047,770007191096494,437
S00,C0,P00,124,770007228844790,770007248324538,770007248289952,770007250541513,770007250486264,309
S00,C0,P00,125,770007268993570,770007287026445,770007286861798,770007287747752,770007287716224,431
S00,C0,P00,126,770007376397426,770007395354437,770007395422877,770007397342267,770007397305948,453
S00,C0,P00,127,770007432346671,770007452095368,770007452069549,770007455322513,770007455491525,330
S00,C0,P00,128,770007477235569,770007496793166,770007497027572,770007498268447,770007498201279,480
S00,C0,P00,129,770007531568203,770007551517441,770007551550125,770007553807606,770007553638246,429
S00,C0,P00,130,770007613866567,770007631752455,770007631808096,770007633623715,770007633748215,388
S00,C0,P00,131,770007669988074,770007688982917,770007689142275,770007690805419,770007690985881,390
S00,C0,P00,132,770007724250212,770007742140700,770007742111516,770007743639984,770007743581362,441
S00,C0,P00,133,770007780000000,770007801295565,770007801392273,770007802768446,770007802819173,376
